,monk,hex,upper_rgb,lower_rgb,upper_r,upper_g,upper_b,lower_r,lower_g,lower_b
0,Monk01,#f6ede4,"243,243,243","239,239,239",243,243,243,239,239,239
1,Monk02,#f3e7db,"233,233,233","235,235,235",233,233,233,235,235,235
2,Monk03,#f7ead0,"235,235,235","219,219,219",235,235,235,219,219,219
3,Monk04,#eadaba,"219,219,219","192,192,192",219,219,219,192,192,192
4,Monk05,#d7bd96,"192,192,192","132,132,132",192,192,192,132,132,132
5,Monk06,#a07e56,"132,132,132","101,101,101",132,132,132,101,101,101
6,Monk07,#825c43,"101,101,101","73,73,73",101,101,101,73,73,73
7,Monk08,#604134,"73,73,73","51,51,51",73,73,73,51,51,51
8,Monk09,#3a312a,"51,51,51","37,37,37",51,51,51,37,37,37
9,Monk10,#292420,"37,37,37","32,32,32",37,37,37,32,32,32
