,monk,hex,upper_rgb,lower_rgb,upper_r,upper_g,upper_b,lower_r,lower_g,lower_b
0,Monk01,#f6ede4,"250,241,232","246,237,228",250,241,232,246,237,228
1,Monk02,#f3e7db,"243,231,219","247,234,208",243,231,219,247,234,208
2,Monk03,#f7ead0,"247,234,208","234,218,186",247,234,208,234,218,186
3,Monk04,#eadaba,"234,218,186","215,189,150",234,218,186,215,189,150
4,Monk05,#d7bd96,"215,189,150","160,126,86",215,189,150,160,126,86
5,Monk06,#a07e56,"160,126,86","130,92,67",160,126,86,130,92,67
6,Monk07,#825c43,"130,92,67","96,65,52",130,92,67,96,65,52
7,Monk08,#604134,"96,65,52","58,49,42",96,65,52,58,49,42
8,Monk09,#3a312a,"58,49,42","41,36,32",58,49,42,41,36,32
9,Monk10,#292420,"41,36,32","37,31,28",41,36,32,37,31,28
